,Changepoint,M1,E1,M2,E2
2284,106,4,1.3,0,0.95
2285,141,2,1.8,3,1.35
2286,105,3,1.65,2,0.4
2287,10,2,1.6,3,1.5
2288,33,4,0.25,3,1.25
2289,160,0,0.05,2,1.95
2290,196,4,1.0,1,0.55
2291,12,0,0.9,2,0.7
2292,168,0,0.45,3,1.5
2293,95,0,0.55,0,0.6
2294,131,1,1.0,3,1.3
2295,167,2,1.65,0,0.2
2296,24,0,0.1,0,0.95
2297,111,1,0.5,4,1.05
2298,32,2,0.45,1,0.45
2299,53,4,1.1,1,1.0
2300,112,4,1.75,4,0.05
2301,24,1,0.6,2,1.4
2302,66,4,1.4,4,1.8
2303,196,1,0.4,1,0.65
2304,77,2,1.05,1,0.8
2305,80,3,1.05,2,0.9
2306,148,3,1.3,1,0.9
2307,17,1,0.8,2,1.8
2308,2,2,1.15,3,1.75
2309,121,3,1.4,4,0.4
2310,113,2,0.2,1,0.5
2311,86,2,1.1,2,0.3
2312,179,2,1.75,2,1.0
2313,55,3,1.35,0,0.15
2314,49,4,0.35,1,0.85
2315,57,0,0.95,4,1.6
2316,15,3,1.7,1,1.0
2317,61,3,1.25,2,0.35
2318,109,1,1.0,2,1.65
2319,186,4,1.2,0,0.8
2320,62,2,0.7,3,1.8
2321,5,0,0.2,4,0.7
2322,148,3,1.5,1,0.1
2323,165,0,1.0,1,0.1
2324,68,0,0.35,1,0.8
2325,7,4,0.75,2,1.95
2326,110,0,0.7,0,0.25
2327,192,3,1.3,1,0.25
2328,132,4,0.55,2,1.4
2329,25,1,0.9,0,0.8
2330,71,1,0.15,1,0.25
2331,54,4,1.9,2,1.95
2332,1,2,1.85,4,0.65
2333,34,2,1.8,2,0.9
2334,190,3,1.75,0,0.5
2335,8,3,1.35,4,1.55
2336,69,3,1.7,4,1.0
2337,46,1,0.3,2,1.9
2338,169,1,0.05,2,0.9
2339,25,1,0.45,2,1.9
2340,28,0,0.65,2,1.65
2341,104,1,0.45,2,0.25
2342,166,0,0.3,2,0.75
2343,62,1,0.8,2,0.75
2344,35,2,1.5,1,1.0
2345,156,1,0.9,4,1.95
2346,170,4,1.5,2,0.85
2347,46,1,0.3,2,1.35
2348,192,4,0.05,2,1.05
2349,21,0,0.5,4,1.1
2350,95,3,1.25,2,0.2
2351,109,2,0.2,1,0.7
2352,131,1,0.85,4,1.3
2353,67,4,0.4,1,0.35
2354,149,2,0.05,1,0.85
2355,199,4,0.8,4,0.95
2356,79,3,1.5,1,0.95
2357,101,3,1.45,2,0.4
2358,76,4,1.35,2,1.25
2359,16,3,1.5,1,0.65
2360,141,3,1.35,1,0.3
2361,188,3,1.85,2,0.95
2362,80,3,1.45,0,0.7
2363,106,4,0.45,2,0.3
2364,145,0,0.45,4,1.65
2365,170,0,0.6,4,2.0
2366,124,4,1.45,3,1.15
2367,76,2,1.8,3,1.45
2368,27,3,1.05,1,0.15
2369,78,4,1.65,4,1.85
2370,115,0,0.2,1,0.9
2371,72,1,0.05,2,1.0
2372,146,1,1.0,2,0.05
2373,166,1,0.75,3,1.95
2374,6,3,1.95,3,1.05
2375,194,0,1.0,2,0.05
2376,184,0,0.05,3,1.25
2377,40,0,0.4,4,0.05
2378,121,3,1.1,3,1.7
2379,60,3,1.5,3,1.05
2380,117,3,1.35,2,1.45
2381,24,4,1.05,3,1.5
2382,57,4,0.35,2,1.05
2383,181,2,1.1,4,0.4
2384,92,4,0.2,4,0.9
2385,52,3,1.25,4,1.8
2386,98,2,0.6,4,0.85
2387,46,4,1.1,3,1.2
2388,39,3,1.6,3,1.2
2389,73,2,0.95,4,1.0
2390,106,4,0.2,3,1.65
2391,121,2,0.2,1,0.35
2392,53,1,0.45,0,0.5
2393,178,4,1.0,4,0.65
2394,15,1,0.55,2,0.25
2395,61,2,0.1,0,0.2
2396,66,4,0.3,1,0.5
2397,146,2,1.9,4,0.8
2398,87,1,0.35,4,0.7
2399,103,0,0.7,0,0.85
2400,121,4,0.3,4,1.5
2401,99,4,1.75,3,1.2
2402,97,2,1.75,0,0.6
2403,98,3,1.7,0,0.6
2404,172,3,1.6,0,1.0
2405,60,4,0.55,2,0.1
2406,48,1,0.9,2,1.9
2407,195,2,0.2,0,0.65
2408,183,4,1.95,1,0.95
2409,81,0,0.05,1,0.45
2410,156,1,0.1,3,1.6
2411,49,1,0.6,1,0.7
2412,32,2,1.25,2,1.85
2413,189,1,0.6,2,1.0
2414,107,3,1.55,4,1.2
2415,146,1,0.95,4,2.0
2416,74,3,1.45,4,1.8
2417,57,1,0.05,3,1.3
2418,84,3,1.55,2,1.35
2419,93,4,1.15,0,0.25
2420,117,4,0.95,4,0.4
2421,148,0,0.65,4,0.75
2422,162,4,0.45,0,0.65
2423,13,4,1.55,2,0.75
2424,106,1,0.55,0,0.6
2425,85,2,0.65,0,0.35
2426,19,1,0.1,2,1.85
2427,86,3,1.35,1,0.45
2428,47,3,1.9,1,0.35
2429,164,2,1.25,1,0.3
2430,134,2,1.3,3,1.2
2431,194,1,0.15,2,1.75
2432,74,0,0.65,1,0.75
2433,134,1,0.45,4,1.75
2434,7,0,0.1,3,1.75
2435,126,2,0.5,3,1.9
2436,100,0,0.45,1,0.7
2437,134,4,1.2,4,0.15
2438,119,1,0.75,2,1.45
2439,96,0,0.1,4,0.25
2440,77,4,2.0,2,0.85
2441,39,0,0.65,1,0.65
2442,16,3,1.3,0,0.5
2443,127,4,1.7,2,0.2
2444,87,3,1.6,0,0.65
2445,35,0,0.95,1,0.2
2446,123,3,1.85,0,0.95
2447,42,0,0.2,2,0.4
2448,67,3,2.0,4,0.9
2449,186,0,0.2,0,0.65
2450,164,2,1.8,2,0.05
2451,61,1,0.5,4,1.2
2452,158,2,1.4,2,0.7
2453,90,2,1.9,1,0.7
2454,153,2,1.3,4,1.1
2455,18,3,1.55,2,1.35
2456,197,4,1.7,4,0.85
2457,154,3,2.0,0,0.5
2458,159,4,1.6,3,1.9
2459,42,0,0.35,2,1.5
2460,148,3,1.55,1,0.5
2461,20,0,0.65,2,0.65
2462,154,1,0.05,1,0.55
2463,121,3,2.0,4,0.2
2464,40,0,0.05,0,0.3
2465,142,1,0.45,1,0.2
2466,110,4,1.55,3,1.7
2467,133,2,1.9,4,1.6
2468,83,0,0.7,4,1.05
2469,96,2,0.9,2,0.2
2470,23,1,0.75,0,0.85
2471,163,1,0.9,3,1.25
2472,116,2,1.4,1,0.2
2473,49,0,0.05,4,1.4
2474,182,4,0.75,3,1.3
2475,31,4,1.95,0,0.9
2476,145,2,0.9,0,0.15
2477,89,4,0.5,4,0.1
2478,5,0,0.1,2,1.75
2479,186,1,0.65,1,0.2
2480,43,3,1.45,3,1.15
2481,126,1,0.2,4,1.3
2482,100,2,1.0,4,0.65
2483,159,0,0.4,4,0.35
2484,9,4,1.95,4,1.2
2485,127,0,0.5,0,0.35
2486,55,1,0.15,4,0.2
2487,63,0,0.8,2,1.65
2488,196,2,0.7,0,0.95
2489,57,2,0.55,1,1.0
2490,52,1,0.25,1,0.5
2491,78,4,1.7,2,0.45
2492,46,2,0.9,3,1.65
2493,44,0,1.0,2,1.35
2494,39,1,0.1,4,0.2
2495,182,2,1.1,1,0.55
2496,192,4,2.0,0,0.8
2497,167,1,0.85,2,1.9
2498,12,4,1.7,2,0.2
2499,18,4,0.85,1,0.65
2500,103,1,1.0,4,0.3
2501,119,0,0.7,2,0.5
2502,29,4,1.85,2,1.35
2503,109,2,1.05,0,0.9
2504,61,4,1.25,0,0.6
2505,4,2,0.2,4,0.05
2506,149,2,1.3,3,1.95
2507,172,1,0.7,0,0.4
2508,173,1,0.15,4,1.05
2509,154,4,1.1,4,0.45
2510,35,0,0.95,3,1.55
2511,193,4,1.85,4,1.95
2512,98,4,2.0,1,0.9
2513,12,1,0.65,2,1.0
2514,167,1,0.95,0,0.4
2515,96,3,1.25,2,1.2
2516,58,1,0.55,2,0.15
2517,143,4,1.15,2,1.8
2518,22,2,1.6,3,1.15
2519,155,2,0.9,1,0.8
2520,16,0,0.05,2,0.55
2521,152,3,1.35,0,0.85
2522,70,0,0.3,4,0.25
2523,113,2,1.2,4,0.65
2524,59,0,1.0,1,1.0
2525,55,4,1.4,1,0.85
2526,1,0,0.35,4,1.35
2527,116,4,0.9,4,0.25
2528,34,4,1.8,1,0.7
2529,70,4,0.35,1,0.75
2530,140,0,1.0,2,1.85
2531,55,2,1.4,1,0.65
2532,112,3,1.85,3,1.8
2533,45,2,1.65,2,1.55
2534,22,1,0.05,1,0.45
2535,183,2,0.4,2,0.7
2536,177,0,0.4,0,0.1
2537,146,4,0.95,3,1.65
2538,86,2,0.1,1,0.85
2539,195,2,0.55,4,1.6
2540,189,0,0.25,3,1.25
2541,80,3,1.7,4,1.9
2542,63,3,1.2,3,1.35
2543,41,2,1.25,2,0.75
2544,4,1,0.85,1,0.65
2545,174,0,0.1,2,0.15
2546,197,2,1.2,2,0.7
2547,10,4,0.05,3,1.65
2548,145,3,1.35,2,0.4
2549,180,4,1.95,4,0.4
2550,199,3,1.3,0,0.35
2551,182,1,0.85,0,0.1
2552,145,4,0.45,3,1.05
2553,45,4,0.45,1,0.2
2554,120,4,1.55,2,0.7
2555,162,4,1.55,0,0.65
2556,34,2,0.15,4,1.1
2557,112,3,1.95,0,0.45
2558,150,0,0.8,2,1.25
2559,90,4,1.4,4,0.8
2560,17,3,1.75,0,0.85
2561,68,0,0.4,0,0.9
2562,155,2,1.9,2,1.55
2563,172,2,0.9,2,1.05
2564,130,4,1.2,1,0.95
2565,145,1,0.6,3,1.75
2566,173,2,0.2,0,0.7
2567,104,2,1.75,0,0.65
2568,147,0,0.85,0,0.6
2569,155,2,0.05,2,0.95
2570,34,3,1.7,1,0.35
2571,136,0,0.95,3,1.6
2572,150,3,1.4,3,1.85
2573,102,0,0.25,2,1.15
2574,122,4,1.1,2,0.7
2575,109,3,1.2,2,0.6
2576,97,3,1.95,1,0.55
2577,132,3,1.1,1,0.5
2578,134,4,0.7,2,1.95
2579,133,1,0.5,2,0.8
2580,5,1,0.4,1,0.75
2581,139,3,1.4,4,2.0
2582,64,2,0.3,4,0.5
2583,55,2,0.45,4,1.45
2584,172,2,0.15,1,0.55
2585,64,1,0.9,2,0.65
2586,164,4,0.25,0,0.4
2587,134,1,0.95,0,0.85
2588,168,2,0.4,0,0.2
2589,62,2,0.3,0,0.05
2590,166,2,1.85,1,0.6
2591,103,1,0.05,2,0.9
2592,55,2,0.5,0,0.8
2593,140,4,0.2,1,0.2
2594,129,1,0.5,2,0.45
2595,11,2,1.75,3,2.0
2596,122,3,1.55,2,0.55
2597,44,0,0.9,2,1.7
2598,56,1,0.45,2,1.35
2599,40,3,1.95,2,1.1
2600,167,0,0.05,0,0.4
2601,151,1,1.0,4,0.05
2602,193,2,0.85,3,1.25
2603,80,4,1.05,2,1.65
2604,105,1,0.45,3,1.9
2605,148,0,0.4,3,1.75
2606,164,4,1.2,3,1.35
2607,153,0,0.5,4,0.65
2608,35,1,0.15,1,0.85
2609,130,4,1.55,0,0.5
2610,78,3,1.35,4,1.25
2611,188,2,0.1,1,0.05
2612,83,2,0.95,1,0.7
2613,123,1,0.55,1,0.35
2614,163,3,2.0,4,0.45
2615,93,4,1.65,4,1.9
2616,137,3,1.7,2,1.1
2617,144,2,0.45,0,0.45
2618,163,0,0.25,0,0.3
2619,13,1,0.75,0,0.2
2620,177,2,1.1,3,1.65
2621,158,4,2.0,2,0.05
2622,137,0,0.9,3,1.05
2623,175,0,0.65,2,1.7
2624,20,2,1.0,1,0.9
2625,194,2,1.15,0,0.1
2626,60,1,0.85,3,1.25
2627,125,1,0.85,1,0.3
2628,75,3,1.65,3,1.55
2629,119,2,1.95,3,1.9
2630,44,0,0.95,3,2.0
2631,60,4,0.25,2,1.2
2632,180,2,0.7,0,0.05
2633,117,0,0.5,1,0.1
2634,133,4,0.2,3,1.85
2635,93,0,0.4,2,0.1
2636,18,1,0.05,0,0.95
2637,74,2,0.55,0,0.3
2638,55,3,1.5,4,1.5
2639,4,4,0.9,1,0.3
2640,43,2,0.15,2,1.85
2641,68,1,0.15,1,0.1
2642,180,2,1.8,2,0.15
2643,149,1,0.8,0,0.4
2644,180,4,1.1,4,0.65
2645,141,4,0.95,0,0.7
2646,111,3,1.9,0,0.25
2647,183,0,0.25,1,0.35
2648,78,2,1.15,4,0.4
2649,172,3,1.75,1,1.0
2650,81,0,0.4,2,1.4
2651,142,1,0.45,0,0.2
2652,82,4,1.6,2,1.4
2653,44,1,0.75,4,1.55
2654,40,1,0.9,3,1.25
2655,157,3,2.0,1,0.15
2656,47,0,1.0,0,0.35
2657,169,1,0.05,0,0.4
2658,70,4,0.05,4,1.95
2659,195,0,0.85,4,1.55
2660,52,4,1.1,3,1.1
2661,1,0,0.55,3,1.7
2662,27,3,1.6,4,0.35
2663,124,2,1.65,2,0.3
2664,123,2,0.1,2,1.2
2665,144,4,0.7,3,1.05
2666,51,4,0.7,2,1.1
2667,142,2,1.0,3,1.8
2668,95,4,0.75,2,0.95
2669,154,1,0.25,2,1.3
2670,38,1,0.85,2,1.15
2671,19,0,0.1,0,0.5
2672,87,2,0.4,4,0.95
2673,2,0,0.4,2,1.8
2674,134,1,0.4,0,0.1
2675,74,0,0.1,3,1.9
2676,175,2,0.85,0,0.2
2677,109,0,0.2,1,0.45
2678,195,0,0.4,0,0.45
2679,68,2,0.85,0,0.05
2680,9,3,1.05,1,0.9
2681,50,2,1.5,4,0.1
2682,95,0,0.8,4,0.35
2683,110,0,1.0,3,1.15
2684,47,3,1.3,2,0.85
2685,162,3,1.75,2,0.2
2686,197,0,0.85,0,0.05
2687,78,4,0.45,1,0.8
2688,48,4,0.65,4,1.3
2689,108,0,0.15,4,0.7
2690,16,3,1.3,1,0.2
2691,34,0,0.85,0,0.1
2692,1,2,0.4,4,1.8
2693,145,4,0.85,0,0.3
2694,186,2,1.9,4,0.65
2695,12,1,0.2,0,0.4
2696,63,1,0.05,2,1.55
2697,124,1,0.95,3,1.95
2698,114,3,1.65,4,2.0
2699,84,4,1.2,2,0.95
2700,107,2,0.5,3,1.9
2701,14,1,0.95,2,0.7
2702,125,3,1.95,1,0.4
2703,54,4,0.65,2,1.05
2704,127,2,0.95,0,0.6
2705,53,4,1.65,2,0.7
2706,3,3,1.1,2,0.1
2707,169,1,1.0,2,1.55
2708,130,1,1.0,4,0.35
2709,43,2,1.5,3,1.4
2710,142,0,0.45,1,0.9
2711,120,1,0.45,1,0.65
2712,179,1,0.4,2,0.05
2713,114,4,1.7,1,0.75
2714,31,2,0.45,1,0.2
2715,27,2,0.55,2,0.1
2716,122,0,0.85,4,0.75
2717,166,3,1.55,4,0.85
2718,108,0,0.45,2,1.7
2719,166,2,1.15,0,0.9
2720,56,2,0.1,3,1.75
2721,159,3,1.5,3,1.9
2722,168,4,0.5,4,0.9
2723,124,1,0.2,0,0.25
2724,37,4,0.25,4,1.95
2725,24,4,0.5,1,0.2
2726,50,3,1.25,1,0.2
2727,105,1,0.3,1,0.45
2728,191,1,0.15,3,1.45
2729,45,0,0.85,4,0.75
2730,56,4,0.35,1,0.05
2731,23,4,0.3,0,0.4
2732,96,1,0.3,2,1.45
2733,105,1,0.65,4,1.9
2734,109,2,1.6,1,0.1
2735,197,0,0.75,4,0.7
2736,22,1,0.75,4,1.95
2737,168,1,0.25,4,1.55
2738,194,1,0.55,4,0.45
2739,186,2,1.65,4,1.85
2740,167,1,0.15,4,1.2
2741,159,1,0.25,2,0.55
2742,74,3,1.55,1,0.7
2743,113,2,1.65,4,0.25
2744,140,4,1.65,2,1.35
2745,3,1,0.3,3,1.1
2746,25,0,0.55,2,1.9
2747,51,1,0.4,3,1.35
2748,188,2,0.45,4,0.45
2749,98,1,0.95,0,0.8
2750,141,3,1.1,4,0.65
2751,45,0,0.75,3,1.7
2752,148,0,0.6,1,0.7
2753,100,2,1.25,0,0.25
2754,137,4,1.5,0,0.6
2755,14,1,0.4,0,0.95
2756,36,3,1.3,4,0.3
2757,1,0,0.8,1,0.3
2758,146,0,0.75,1,0.55
2759,94,2,0.1,2,0.85
2760,32,1,0.3,4,0.65
2761,38,1,0.75,0,0.4
2762,57,1,0.1,2,1.25
2763,48,0,0.15,4,0.5
2764,26,2,1.4,3,1.9
2765,152,1,0.45,0,0.75
2766,138,1,0.25,2,1.15
2767,187,0,0.8,4,0.55
2768,52,0,0.4,1,0.15
2769,62,0,0.9,3,1.55
2770,57,4,0.15,0,0.45
2771,103,4,0.45,1,0.65
2772,95,3,1.3,2,1.05
2773,23,0,0.65,4,1.55
2774,113,2,0.55,2,1.9
2775,52,3,1.2,3,1.5
2776,39,1,0.3,2,1.85
2777,147,2,1.65,0,0.4
2778,19,3,1.4,4,1.35
2779,39,3,1.35,4,0.3
2780,24,0,0.65,3,1.55
2781,122,4,1.75,4,0.85
2782,161,3,1.4,0,0.05
2783,184,0,0.75,4,1.35
2784,123,0,0.45,4,1.15
2785,52,1,0.45,4,1.15
2786,158,2,0.3,2,1.85
2787,15,0,0.7,4,1.95
2788,135,2,0.7,1,0.65
2789,69,0,0.05,0,1.0
2790,13,1,0.5,0,0.05
2791,92,2,1.0,1,0.95
2792,20,0,0.5,1,0.2
2793,90,4,0.8,0,0.4
2794,42,1,0.3,0,0.45
2795,154,3,1.85,3,1.95
2796,77,4,0.8,2,0.35
2797,192,0,0.6,0,0.75
2798,10,2,0.8,2,0.1
2799,121,2,1.55,0,0.85
2800,78,0,0.25,0,0.5
2801,127,0,0.75,0,0.55
2802,124,2,0.75,0,0.6
2803,9,2,0.05,3,1.55
2804,37,4,1.35,2,1.15
2805,126,2,0.3,4,1.45
2806,39,4,1.45,0,0.9
2807,109,4,1.55,2,1.2
2808,94,4,1.8,4,1.95
2809,90,0,0.95,4,1.5
2810,77,1,0.35,4,1.5
2811,1,2,0.5,1,0.15
2812,65,0,0.45,1,0.65
2813,148,0,0.45,2,0.65
2814,194,4,1.9,3,1.85
2815,18,1,0.05,1,0.75
2816,87,0,0.75,3,1.45
2817,119,1,0.6,1,0.45
2818,88,4,1.85,0,0.9
2819,20,4,1.75,4,0.65
2820,19,4,0.55,2,0.05
2821,61,2,0.8,4,0.9
2822,24,2,0.35,0,0.15
2823,128,4,0.25,3,1.6
2824,154,2,0.95,1,0.95
2825,146,4,1.15,0,0.35
2826,108,0,0.8,3,1.15
2827,198,3,2.0,2,1.95
2828,25,3,1.55,4,0.05
2829,12,3,1.2,4,0.55
2830,48,2,0.25,4,1.9
2831,158,1,0.85,4,1.7
2832,59,0,0.15,4,1.6
2833,163,4,0.1,3,1.95
2834,112,1,0.4,4,2.0
2835,52,2,1.6,4,1.2
2836,133,2,1.15,4,0.75
2837,154,0,0.2,4,1.45
2838,29,4,1.0,0,0.4
2839,1,0,0.8,2,0.85
2840,130,1,0.75,1,0.55
2841,186,4,0.45,3,1.05
2842,172,0,0.55,3,1.85
2843,193,0,0.5,4,0.7
2844,187,0,0.35,4,1.9
2845,23,0,0.05,2,1.05
2846,101,3,1.35,2,0.75
2847,24,4,0.85,0,0.35
2848,102,0,0.7,0,0.85
2849,132,1,0.1,3,1.6
2850,177,4,0.75,4,1.05
2851,154,2,0.75,1,0.4
2852,185,0,0.6,3,1.5
2853,140,1,0.95,4,0.9
2854,86,2,0.7,1,0.8
2855,29,4,0.8,3,1.25
2856,46,4,0.65,1,0.95
2857,132,1,0.6,3,1.9
2858,190,1,0.45,0,0.4
2859,123,2,1.65,0,0.55
2860,154,4,0.7,4,1.95
2861,170,4,2.0,3,1.65
2862,138,0,0.7,2,1.75
2863,73,0,0.25,1,0.05
2864,78,1,0.3,1,0.9
2865,88,2,1.5,2,0.55
2866,79,2,0.85,1,0.65
2867,144,2,1.65,4,1.2
2868,17,1,1.0,2,1.25
2869,95,4,1.25,3,1.3
2870,137,3,1.8,2,0.15
2871,178,4,0.6,1,0.95
2872,20,3,1.25,1,0.7
2873,99,2,1.35,4,1.45
2874,37,4,1.55,3,1.35
2875,198,1,0.75,1,0.05
2876,9,4,0.35,2,0.05
2877,111,1,0.6,2,0.8
2878,101,1,0.45,2,1.0
2879,168,4,1.9,0,0.15
2880,161,0,0.7,1,0.4
2881,48,1,0.35,2,0.95
2882,162,0,0.2,3,1.75
2883,113,3,1.8,2,0.8
2884,172,0,0.35,4,1.15
2885,72,4,0.15,2,0.8
2886,97,2,1.45,2,1.0
2887,60,2,1.8,4,1.2
2888,139,0,0.5,3,1.15
2889,183,4,1.4,0,0.7
2890,178,4,0.55,2,0.8
2891,34,0,0.3,3,1.2
2892,97,4,0.05,4,1.9
2893,66,1,1.0,1,0.65
2894,19,1,0.2,4,1.8
2895,32,4,1.2,3,1.75
2896,108,1,0.6,0,0.1
2897,191,1,0.5,0,0.4
2898,189,1,0.35,3,1.85
2899,147,0,0.25,2,1.7
2900,74,1,0.2,1,0.4
2901,133,1,0.45,1,0.7
2902,23,1,0.9,4,1.2
2903,150,4,0.6,0,0.3
2904,115,3,1.1,4,0.3
2905,109,0,0.95,0,0.6
2906,148,4,0.5,0,1.0
2907,156,1,0.1,0,0.25
2908,163,1,0.95,1,0.65
2909,65,2,0.4,1,1.0
2910,3,2,1.4,0,0.45
2911,17,1,0.35,2,1.25
2912,156,0,0.35,4,0.35
2913,77,0,0.4,1,0.3
2914,38,2,1.1,2,0.35
2915,72,0,1.0,0,0.25
2916,136,0,0.9,1,0.4
2917,47,3,1.9,3,1.2
2918,180,2,1.0,2,1.8
2919,44,0,0.25,1,0.05
2920,99,4,1.45,2,1.1
2921,129,4,1.25,4,1.7
2922,52,2,0.2,4,0.6
2923,84,1,0.25,3,1.6
2924,54,1,0.45,3,1.5
2925,154,2,1.55,4,1.5
2926,24,2,1.7,3,1.6
2927,58,2,0.15,4,0.35
2928,55,1,0.65,3,1.55
2929,188,0,0.35,0,0.2
2930,177,4,1.45,0,0.55
2931,103,3,1.8,0,0.1
2932,131,3,1.55,2,0.35
2933,123,2,1.15,0,0.4
2934,26,0,0.1,0,0.65
2935,36,3,1.75,4,0.15
2936,84,2,1.0,1,0.1
2937,48,4,1.7,4,2.0
2938,134,2,1.0,2,0.2
2939,137,2,1.8,2,0.05
2940,121,3,1.65,3,1.1
2941,42,0,0.1,3,1.15
2942,97,4,1.65,3,1.05
2943,160,4,1.3,0,1.0
2944,129,4,1.55,0,0.5
2945,34,3,1.45,1,0.15
2946,159,3,1.5,0,0.55
2947,54,2,1.65,1,0.65
2948,199,4,0.1,1,0.65
2949,5,0,0.4,3,1.4
2950,176,0,0.2,2,0.5
2951,122,4,0.55,3,2.0
2952,23,2,1.2,3,1.45
2953,87,2,1.35,4,0.2
2954,17,2,1.45,2,0.55
2955,185,2,0.3,3,1.3
2956,63,4,1.15,2,0.55
2957,50,3,1.2,0,0.75
2958,53,0,0.75,3,1.55
2959,14,2,1.9,1,0.6
2960,195,1,0.5,4,1.05
2961,166,4,0.25,2,0.2
2962,124,4,0.2,4,1.6
2963,180,0,0.65,4,1.65
2964,75,3,1.8,3,1.15
2965,59,1,0.9,4,1.1
2966,6,4,1.15,4,1.6
2967,164,3,1.85,0,0.85
2968,96,0,0.6,3,1.85
2969,113,1,0.55,3,1.6
2970,169,0,0.15,4,1.65
2971,36,2,1.6,2,1.3
2972,59,2,1.7,4,1.65
2973,172,0,0.35,0,0.9
2974,98,0,0.35,3,1.15
2975,17,0,0.8,1,0.65
2976,50,4,1.85,4,0.2
2977,180,3,1.9,3,2.0
2978,121,3,1.45,4,0.25
2979,133,1,0.7,0,0.8
2980,65,4,0.9,2,1.35
2981,144,1,0.55,4,0.5
2982,32,3,1.55,3,1.6
2983,60,0,1.0,3,1.65
2984,8,3,1.3,0,0.85
2985,23,2,0.95,4,0.35
2986,10,2,0.6,4,1.0
2987,189,1,0.6,2,0.4
2988,146,0,0.35,1,0.55
2989,43,2,0.15,1,0.75
2990,131,2,1.55,4,0.15
2991,163,1,0.9,2,0.6
2992,41,4,1.0,0,0.2
2993,14,0,0.1,3,1.45
2994,30,2,0.7,0,0.45
2995,140,4,1.7,0,0.7
2996,58,2,0.2,0,0.6
2997,97,4,0.55,1,0.9
2998,64,4,2.0,1,0.25
2999,78,0,0.55,4,1.75
3000,69,0,0.05,2,1.1
3001,161,0,0.9,2,0.4
3002,114,4,1.5,3,1.75
3003,88,1,0.9,3,1.4
3004,129,2,0.85,0,0.75
3005,104,2,1.75,4,0.85
3006,1,2,1.05,1,0.2
3007,11,2,1.3,4,0.75
3008,188,0,0.3,2,1.2
3009,31,4,1.25,2,1.4
3010,179,4,0.3,0,0.05
3011,156,2,0.25,1,0.5
3012,69,4,0.25,4,0.8
3013,145,3,2.0,4,0.1
3014,84,3,1.3,4,0.4
3015,79,0,0.5,3,1.2
3016,153,0,0.1,4,1.6
3017,184,2,1.5,3,1.15
3018,79,1,0.1,0,0.65
3019,104,0,0.5,3,1.9
3020,151,0,0.35,1,0.95
3021,190,1,0.55,4,1.2
3022,8,1,0.75,2,0.65
3023,78,3,1.75,0,0.6
3024,62,1,0.95,2,1.55
3025,126,4,0.7,3,1.4
3026,74,0,0.2,1,0.4
3027,126,3,1.35,0,1.0
3028,114,3,1.4,4,0.05
3029,156,4,1.7,2,0.5
3030,37,1,0.65,4,1.5
3031,28,3,1.8,2,1.6
3032,109,1,0.1,1,0.7
3033,144,1,1.0,4,0.8
3034,59,0,0.1,2,0.8
3035,165,0,0.15,1,0.15
3036,166,1,0.35,3,1.3
3037,55,4,0.2,3,1.3
3038,32,4,1.45,3,1.25
3039,137,1,0.65,4,0.55
3040,60,3,1.5,3,1.35
3041,7,4,0.9,4,0.95
3042,47,3,1.2,4,2.0
3043,40,2,0.05,4,0.85
3044,2,1,0.9,4,1.0
3045,81,1,0.8,0,0.15
3046,99,4,0.95,3,1.75
3047,99,4,1.25,0,0.75
3048,188,1,0.7,2,1.9
3049,65,4,0.65,4,0.8
3050,142,1,0.8,3,1.35
3051,82,0,0.75,1,0.1
3052,21,4,0.1,2,1.95
3053,125,2,0.1,2,1.6
3054,69,1,0.15,4,0.35
3055,12,3,1.95,2,1.2
3056,74,1,0.3,2,1.7
3057,181,4,0.15,3,1.75
3058,55,2,0.65,0,1.0
3059,16,1,0.5,1,0.05
3060,93,2,1.0,2,1.35
3061,144,1,0.45,3,1.1
3062,92,0,0.2,4,1.35
3063,141,4,1.0,1,0.7
3064,107,1,0.35,2,1.75
3065,157,4,1.3,4,0.1
3066,25,1,0.2,2,1.45
3067,60,2,1.65,0,0.65
3068,84,4,0.1,3,1.5
3069,12,1,0.25,0,0.3
3070,81,0,0.1,1,0.95
3071,49,4,1.15,3,1.05
3072,4,2,1.65,3,1.5
3073,144,0,0.05,3,1.85
3074,18,0,0.35,3,1.75
3075,111,4,1.05,4,0.9
3076,3,2,1.25,2,0.2
3077,116,4,0.6,1,0.7
3078,89,2,1.55,2,0.95
3079,138,3,1.85,2,1.15
3080,68,0,0.6,0,0.35
3081,96,0,0.3,1,0.4
3082,62,4,0.35,0,0.1
3083,120,0,0.65,2,0.5
3084,70,4,1.1,4,1.8
3085,178,3,2.0,3,1.05
3086,30,2,0.85,3,1.5
3087,24,0,0.1,3,1.55
3088,18,1,0.7,3,1.2
3089,124,0,0.35,1,0.45
3090,169,3,1.1,4,0.45
3091,81,2,0.75,0,0.15
3092,44,3,1.3,2,0.8
3093,108,2,1.8,1,0.1
3094,44,1,0.4,1,0.3
3095,40,1,0.55,2,0.85
3096,131,1,0.55,0,0.65
3097,80,2,0.15,0,0.7
3098,50,2,1.3,0,0.95
3099,14,3,1.85,0,0.7
3100,83,3,1.7,4,0.95
3101,67,1,0.65,0,0.8
3102,142,0,0.6,0,0.45
3103,28,1,0.25,2,0.85
3104,190,3,1.6,4,0.15
3105,150,2,1.5,2,0.1
